scenario,group,n,warmups,median_ms,p95_ms,min_ms,max_ms,stddev_ms,q1_ms,q3_ms,iqr_ms,runs_ms
"cold start / OCC worker init","cold start",20,1,1696.798,1737.999,1664.095,1747.290,25.792,1677.838,1713.343,35.505,"1684.370;1735.875;1701.905;1664.095;1673.015;1691.690;1708.770;1710.285;1716.410;1737.510;1672.310;1683.470;1666.680;1729.575;1712.320;1704.520;1679.445;1682.845;1747.290;1667.535"
"cold start / planegcs init","cold start",20,1,6.482,7.368,4.885,8.180,0.779,6.234,6.940,0.706,"8.180;6.730;7.190;7.030;6.430;6.880;6.375;6.260;7.325;6.435;6.910;6.275;5.545;4.940;6.530;6.030;7.180;6.615;6.155;4.885"
"boolean / union         N=2","boolean",15,1,89.790,108.820,84.130,139.910,13.409,87.603,91.897,4.295,"92.465;90.285;90.295;95.495;93.095;91.330;89.790;89.565;89.355;88.590;85.910;86.615;84.130;84.700;139.910"
"boolean / union         N=4","boolean",15,1,281.875,288.094,277.730,289.760,3.009,280.667,282.893,2.225,"289.760;285.420;282.075;282.795;281.605;280.595;280.740;282.415;281.875;282.990;287.380;280.515;280.990;280.425;277.730"
"boolean / union         N=6","boolean",15,1,544.110,560.492,535.955,577.460,9.992,540.225,547.545,7.320,"539.965;544.440;541.275;543.025;540.485;539.575;535.955;546.120;550.550;536.955;577.460;546.385;548.705;553.220;544.110"
"boolean / difference    N=2","boolean",15,1,58.025,58.573,57.400,58.580,0.305,57.930,58.242,0.313,"58.580;58.180;58.100;57.920;57.800;58.025;58.315;57.955;58.185;58.570;57.950;58.300;57.400;57.940;57.820"
"boolean / intersection  N=2","boolean",15,1,52.210,52.722,51.340,53.005,0.399,52.042,52.303,0.260,"52.240;52.260;52.210;53.005;52.315;52.600;52.195;52.135;51.715;52.290;52.095;52.595;51.340;51.990;51.740"
"fillet / 1 edge","fillet",15,1,31.750,32.471,30.975,32.495,0.453,31.470,32.105,0.635,"32.100;32.495;32.305;32.110;31.815;31.750;32.460;31.900;31.250;30.975;31.710;31.680;31.540;31.285;31.400"
"fillet / 4 edges","fillet",15,1,61.420,64.027,59.815,64.335,1.383,60.618,62.585,1.967,"63.895;61.420;62.755;61.445;64.335;60.790;62.575;60.900;61.290;61.855;60.445;62.595;59.815;59.935;60.145"
"fillet / 12 edges","fillet",15,1,432.005,448.263,408.690,458.655,11.871,425.225,434.592,9.368,"418.915;417.485;418.815;431.730;434.045;434.280;432.005;431.535;431.775;434.905;443.810;433.955;458.655;435.755;408.690"
"extrude / 4-segment polygon","extrude",15,1,14.975,15.907,14.460,16.275,0.532,14.648,15.345,0.697,"15.155;15.750;15.700;14.735;14.475;14.460;14.560;16.275;15.210;15.215;14.900;14.535;14.930;14.975;15.475"
"extrude / 16-segment polygon","extrude",15,1,52.470,54.504,49.015,56.510,1.548,51.985,53.020,1.035,"52.325;52.220;51.950;52.470;53.445;56.510;52.840;52.020;53.055;52.985;52.765;51.810;53.645;49.015;51.350"
"extrude / 64-segment polygon","extrude",15,1,209.275,219.127,203.135,235.965,7.389,207.782,209.928,2.145,"209.965;211.910;208.290;235.965;209.890;209.275;209.450;205.935;209.215;206.645;209.885;210.295;203.135;208.625;207.275"
"sweep / straight path 100mm","sweep",15,1,65.140,67.663,63.975,71.100,1.681,64.785,65.775,0.990,"65.520;71.100;64.335;64.845;66.065;65.840;65.140;65.710;65.000;66.190;63.975;64.815;65.185;64.755;64.230"
"sweep / helix 2 turns","sweep",15,1,485.785,503.844,479.170,524.620,10.896,483.955,492.795,8.840,"492.530;494.940;524.620;489.575;485.585;485.785;493.060;494.670;484.645;481.420;484.460;479.170;483.450;481.485;489.460"
"solver / 8-gon no constraints","sketch solver",30,2,0.035,0.053,0.025,0.060,0.008,0.031,0.040,0.009,"0.055;0.040;0.040;0.040;0.035;0.040;0.060;0.045;0.040;0.035;0.035;0.035;0.035;0.040;0.045;0.040;0.025;0.030;0.035;0.035;0.030;0.025;0.040;0.050;0.040;0.025;0.030;0.030;0.025;0.035"
"solver / 8-gon with equal-length","sketch solver",30,2,0.140,0.310,0.110,0.455,0.074,0.130,0.154,0.024,"0.200;0.145;0.140;0.155;0.150;0.160;0.135;0.130;0.135;0.120;0.140;0.125;0.130;0.140;0.160;0.230;0.375;0.145;0.135;0.130;0.115;0.130;0.130;0.150;0.140;0.110;0.110;0.115;0.455;0.155"
"solver / 32-gon with equal-length","sketch solver",30,2,0.473,0.657,0.405,0.935,0.105,0.436,0.521,0.085,"0.585;0.560;0.635;0.485;0.490;0.935;0.530;0.525;0.490;0.510;0.455;0.465;0.530;0.495;0.450;0.445;0.445;0.425;0.480;0.430;0.440;0.675;0.465;0.480;0.430;0.425;0.415;0.405;0.415;0.435"
"solver / 64-gon with equal-length","sketch solver",30,2,1.072,1.511,1.020,1.720,0.164,1.055,1.104,0.049,"1.215;1.415;1.590;1.720;1.075;1.125;1.185;1.060;1.070;1.090;1.090;1.065;1.095;1.060;1.055;1.055;1.050;1.075;1.035;1.035;1.105;1.090;1.045;1.245;1.060;1.020;1.020;1.020;1.100;1.065"
